abaisser
abasourdir
abâtardir
abattre
abdiquer
abêtir
abhorrer
abîmer
abjurer
abolir
abominer
abonder
abonner
aborder
aboucher
abouler
aboutir
aboyer
abréger
abreuver
abroger
abrutir
absenter
absorber
absoudre
abstenir
abstraire
abuser
acagnarder
accabler
accaparer
accéder
accélérer
accentuer
accepter
accessoiriser
accidenter
acclamer
acclimater
accoler
accommoder
accomplir
accorder
accoster
accoter
accoucher
accouder
accourir
accoutumer
accréditer
accrocher
accroire
accroître
accroupir
accueillir
acculer
accumuler
accuser
achaler
acharner
acheminer
achever
achopper
acoquiner
acquérir
acquiescer
acquitter
actionner
activer
actualiser
adapter
additionner
adhérer
adjoindre
adjuger
adjurer
admettre
administrer
admonester
adonner
adopter
adorer
adosser
adouber
adoucir
adresser
advenir
aérer
affabuler
affadir
affaiblir
affairer
affaisser
affaler
affamer
affectionner
affermir
affiler
affilier
affiner
affirmer
affleurer
affliger
affluer
affranchir
affréter
affriander
affrioler
affubler
affurer
affûter
agencer
agenouiller
agglomérer
agglutiner
aggraver
agir
agiter
agonir
agoniser
agrafer
agrandir
agréer
agréger
agrémenter
agresser
aguerrir
aguicher
ahaner
ahurir
aicher
aigrir
aiguiller
aiguillonner
aiguiser
ailler
aimanter
ajointer
ajourner
ajuster
alanguir
alarmer
alcaliniser
alerter
aléser
aliéner
aligner
alimenter
aliter
allaiter
allécher
alléger
alléguer
allier
allouer
allumer
alourdir
alpaguer
alphabétiser
altérer
alunir
amadouer
amalgamer
amarrer
amasser
ambitionner
ambler
ambrer
améliorer
aménager
amender
amenuiser
américaniser
amerrir
ameuter
amidonner
amignoter
amincir
amnistier
amocher
amoindrir
amollir
amonceler
amorcer
amortir
amouracher
amourer
amplifier
amputer
analyser
anatomiser
ancrer
anéantir
anesthésier
angler
angliciser
angoisser
animer
ankyloser
annexer
annihiler
annoncer
annoter
annuler
anoblir
anthropomorphiser
anticiper
antidater
apaiser
apercevoir
apeurer
apitoyer
aplanir
aplatir
apostropher
apparaître
appareiller
apparenter
apparier
appartenir
appâter
appauvrir
appendre
appert
appesantir
applaudir
appliquer
appointer
apponter
apposer
apprécier
appréhender
apprêter
apprivoiser
approfondir
approprier
approuver
approvisionner
après-déjeuner
apurer
araser
arbitrer
arborer
arc-bouter
archiver
arder
ardre
arguer
argumenter
armer
arnaquer
aromatiser
arpenter
arquer
arraisonner
arrimer
arroger
arrondir
arroser
arsouiller
articuler
ascendre
ascensionner
asperger
asphalter
asphyxier
aspirer
assagir
assaillir
assainir
assaisonner
assavoir
assécher
assembler
assener
asséner
asseoir
assermenter
asservir
assiéger
assigner
assimiler
associer
assoiffer
assombrir
assommer
assortir
assoupir
assouplir
assourdir
assouvir
assujettir
assumer
astreindre
atomiser
atrophier
attabler
attarder
atteindre
atteler
attendrir
attenter
atténuer
attester
attifer
attiser
attraper
attribuer
attriquer
attrister
attrouper
auditer
auditionner
augmenter
augurer
auner
aurai
auréoler
ausculter
authentifier
autocensurer
autocritiquer
autodétruire
autogérer
autographier
automutiler
autopsier
autoriser
avachir
avaler
avaliser
avancer
avantager
avenir
aventurer
avérer
avertir
aveugler
avilir
aviser
avitailler
aviver
avoiner
avoir
avoir
avoisiner
avorter
avoyer
axer
encadrer
encager
encaisser
encanailler
encapsuler
encarter
encaserner
encastrer
encaustiquer
encaver
enceinter
encenser
encercler
enchaîner
enchanter
enchâsser
enchérir
enchrister
enchtiber
enclencher
encliqueter
encloîtrer
enclore
enclouer
encoconner
encoder
encoller
encombrer
encorder
encorner
encotonner
encourager
encourir
encrasser
encrer
encroûter
enculer
endetter
endeuiller
endêver
endiguer
endimancher
endoctriner
endolorir
endommager
endormir
endosser
enduire
endurcir
endurer
enfanter
enfariner
enferrer
enfiler
enflammer
enfler
enfouiller
enfouir
enfourcher
enfourner
enfreindre
enfuir
enfumer
engendrer
englander
englober
engloutir
engluer
engorger
engouffrer
engourdir
engraisser
engranger
engraver
engrener
engrosser
engueuler
enguirlander
enhardir
enivrer
enjamber
enjoindre
enjôler
enjoliver
enjuiver
enkyster
enlacer
enlaidir
enliasser
enliser
enluminer
enneiger
ennoblir
ennuager
ennuyer
enorgueillir
enquérir
enquêter
enquiller
enquiquiner
enraciner
enrager
enrayer
enrégimenter
enregistrer
enrhumer
enrichir
enrober
enrouer
enrouler
enrubanner
ensabler
ensacher
ensanglanter
ensemencer
enserrer
ensevelir
ensoleiller
ensommeiller
ensorceler
ensuivre
entacher
entailler
entamer
entasser
enténébrer
enter
entériner
enterrer
entêter
enthousiasmer
enticher
entifler
entoiler
entôler
entonner
entortiller
entourer
entourlouper
entr'aimer
entr'apercevoir
entr'égorger
entraider
entrapercevoir
entraver
entre-déchirer
entre-dévorer
entre-tuer
entrebâiller
entrebattre
entrechoquer
entrecouper
entrecroiser
entredévorer
entrelacer
entrelarder
entremettre
entreposer
entreprendre
entretenir
entrevoir
entrouvrir
entuber
enturbanner
envahir
envaser
envelopper
envenimer
envier
environner
envisager
envoûter
